0.59	0.68	5	0.38
0.8	0.71	6	0.32
0.67	0.67	4	0.3
0.48	0.64	5	0.29
0.57	0.72	6	0.17
0.71	0.73	6	0.18
0.43	0.8	5	0.27
0.7	0.75	5	0.12
0.74	0.74	7	0.27
0.67	0.84	6	0.24
0.56	0.68	6	0.08
0.48	0.89	7	0.29
0.41	0.7	4	0.27
0.6	0.72	2	0.62
0.6	0.8	2	0.51
0.6	0.75	2	0.52
0.54	0.81	3	0.59
0.61	0.94	2	0.56
0.29	0.85	9	0.22
0.4	0.78	7	0.21
0.57	0.75	7	0.16
0.29	0.79	10	0.15
0.38	0.83	6	0.18
0.36	0.78	8	0.12
0.32	0.74	10	0.14
0.36	0.77	7	0.11
0.42	0.46	6	0.1
0.45	0.4	5	0.08
0.41	0.58	8	0.25
0.29	0.64	13	0.15
0.3	0.54	9	0.15
0.37	0.42	6	0.09
0.57	0.17	5	0.06
0.69	0.81	6	0.54
0.56	0.64	1	0.44
0.28	0.52	4	0.19
0.68	0.74	6	0.13
0.54	0.46	8	0.1
0.51	0.66	7	0.27
0.56	0.64	7	0.33
0.37	0.6	8	0.17
0.34	0.83	11	0.16
0.25	0.77	9	0.16
0.28	0.84	16	0.24
0.28	0.37	6	0.08
0.32	0.47	8	0.13
0.27	0.66	10	0.11
0.32	0.52	8	0.09
0.25	0.78	6	0.11
